item_id	i_genre_c	i_title_c
1	145	2882
844	115	1504
1785	206	1216
2633	185	2986
2731	176	960
2826	63	1278
2891	206	2448
2959	106	2862
3031	1	2714
2	37	1163
95	187	123
167	195	821
274	144	238
355	238	2021
434	29	690
509	259	511
599	251	2491
666	295	1040
742	176	39
845	1	1862
950	47	1114
1052	224	640
1127	295	191
1228	257	2241
1323	251	1609
1412	238	2098
1504	238	2040
1603	287	2165
1690	138	580
1786	238	2524
1879	238	708
1968	257	2915
2126	161	212
2220	251	509
2309	238	728
2397	234	41
2496	176	1457
2586	206	601
2634	238	681
2640	261	2372
2650	57	732
2661	238	2360
2669	2	1874
2679	185	2854
2690	251	1365
2700	233	2497
2709	153	2208
2720	251	3034
2732	233	2955
2753	176	1824
2763	238	1582
2773	160	329
2783	238	1107
2801	238	1333
2808	251	2238
2827	115	1427
2835	259	918
2844	238	1883
2848	176	802
2856	206	2928
2862	176	342
2867	292	1603
2880	206	1057
2885	176	1061
2892	46	1075
2900	1	931
2908	185	1528
2914	245	1850
2920	251	280
2934	292	2478
2943	234	1994
2947	238	671
2956	259	1513
2960	238	3044
2971	221	2807
2975	238	161
2979	238	2072
2989	185	1597
2996	251	151
3002	126	3049
3010	160	845
3016	176	356
3023	92	1993
3052	259	1767
3063	206	2958
3073	238	275
3084	92	459
3095	176	1415
3106	238	1264
3118	234	1287
3	259	575
13	176	414
24	176	1892
35	295	2942
44	176	1251
52	251	450
61	185	2026
70	111	1912
96	73	433
102	259	2771
110	16	2432
119	247	286
134	234	157
140	215	3120
149	206	1403
178	238	424
189	206	408
199	248	563
209	238	2657
220	176	1010
231	115	1981
252	234	1511
263	206	2188
286	295	1468
310	176	813
321	234	1079
356	251	2949
364	176	344
387	176	465
395	1	227
403	106	111
411	238	256
419	238	208
428	224	110
435	238	168
443	254	2386
450	271	46
456	10	261
461	238	294
469	261	317
475	176	390
482	213	494
488	106	512
499	238	595
510	28	626
519	260	663
529	234	678
538	84	761
543	227	770
554	92	780
563	185	804
581	20	990
591	112	1051
600	63	1228
606	176	1480
612	87	1493
620	33	1499
627	176	1514
634	238	1533
643	176	1656
648	271	1671
654	176	1685
667	176	1730
674	41	1828
680	251	1870
686	295	1924
694	238	1959
701	292	1976
708	176	2017
716	176	2136
723	271	2275
733	176	2335
743	295	2449
750	238	2468
770	238	2539
780	238	2581
791	187	2606
802	275	2631
813	238	2675
824	62	2699
834	245	2934
855	238	2828
866	251	2873
877	176	2859
886	1	2937
897	185	2945
908	234	2948
917	251	2989
928	2	3006
939	238	3046
951	297	3061
962	238	466
982	238	478
993	238	287
1004	251	285
1015	176	340
1025	259	218
1035	185	425
1046	238	687
1065	251	570
1068	176	592
1075	187	801
1083	259	788
1101	1	833
1119	259	743
1128	259	800
1137	176	842
1146	185	857
1156	238	914
1166	176	910
1176	185	859
1185	206	1056
1195	206	1037
1206	106	945
1217	148	1177
1229	295	1307
1240	167	1013
1251	245	952
1288	234	1342
1297	240	1283
1306	176	1360
1312	251	1407
1324	160	1286
1334	1	1376
1343	206	1397
1354	243	1441
1361	238	1479
1368	176	1484
1377	210	1510
1386	286	1515
1395	109	1529
1404	224	1557
1413	24	2669
1419	238	1651
1428	167	1645
1438	238	1579
1457	251	1632
1466	255	1612
1477	176	1726
1487	238	1644
1495	238	1933
1505	251	1687
1514	238	1677
1524	238	1720
1535	243	1768
1554	176	1852
1564	206	1832
1573	238	1839
1582	176	1813
1592	238	1936
1604	259	1916
1614	238	2027
1622	238	1974
1630	216	1984
1671	92	1968
1681	206	2084
1691	216	2073
1701	295	2212
1709	71	2107
1720	222	2270
1729	206	2157
1740	206	2292
1747	216	2281
1756	238	2123
1766	176	2290
1775	238	2253
1787	238	2302
1795	251	2186
1805	251	2295
1813	39	2300
1824	185	2417
1832	176	2328
1839	238	2822
1849	238	2821
1860	238	2823
1868	238	2338
1898	176	2710
1907	144	2738
1916	238	2488
1926	1	2630
1935	33	2673
1943	162	2459
1952	238	2525
1960	295	2520
1969	270	2736
1976	238	2702
1984	185	2743
1993	176	2720
2003	176	1966
2014	238	2857
2025	50	2764
2033	271	2754
